RowNumber	App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver	row_num
560	95Live -SG#1 Live Streaming App	DATING	4.10	4953.00	15.00	1000000.00	Free	0.00	Teen	Dating	2018-08-01	8.7.2	4.2 and up	2
2403	A Manual of Acupuncture	MEDICAL	3.50	214.00	68.00	1000.00	Paid	33.99	Everyone	Medical	2017-10-02	2.1.35	4.0 and up	2
921	A&E - Watch Full Episodes of TV Shows	ENTERTAINMENT	4.00	29706.00	19.00	1000000.00	Free	0.00	Teen	Entertainment	2018-07-16	3.1.4	4.4 and up	2
947	A&E - Watch Full Episodes of TV Shows	ENTERTAINMENT	4.00	29706.00	19.00	1000000.00	Free	0.00	Teen	Entertainment	2018-07-16	3.1.4	4.4 and up	3
4992	A&E - Watch Full Episodes of TV Shows	FAMILY	4.00	29708.00	19.00	1000000.00	Free	0.00	Teen	Entertainment	2018-07-16	3.1.4	4.4 and up	4
2516	AAFP	MEDICAL	3.80	63.00	24.00	10000.00	Free	0.00	Everyone	Medical	2018-06-22	2.3.1	5.0 and up	2
3788	ABC News - US & World News	NEWS_AND_MAGAZINES	4.00	18976.00	35.00	1000000.00	Free	0.00	Everyone 10+	News & Magazines	2018-06-06	3.19.11	5.0 and up	2
3800	AC - Tips & News for Androidâ„¢	NEWS_AND_MAGAZINES	4.20	23292.00	14.00	1000000.00	Free	0.00	Everyone 10+	News & Magazines	2018-05-24	3.1.12	4.1 and up	2
281	Accounting App - Zoho Books	BUSINESS	4.50	3079.00	8.50	100000.00	Free	0.00	Everyone	Business	2018-08-02	5.20.7	4.1 and up	2
5513	AccuWeather: Daily Forecast & Live Weather Reports	WEATHER	4.40	2052407.00	110.00	50000000.00	Free	0.00	Everyone	Weather	2018-08-02	Varies with device	Varies with device	2
1096	Acorns - Invest Spare Change	FINANCE	4.30	45957.00	110.00	1000000.00	Free	0.00	Everyone	Finance	2018-07-31	Varies with device	Varies with device	2
2489	Ada - Your Health Guide	MEDICAL	4.70	87418.00	14.00	1000000.00	Free	0.00	Everyone	Medical	2018-07-16	2.25.0	4.4 and up	2
3453	Adobe Acrobat Reader	PRODUCTIVITY	4.30	3016297.00	110.00	100000000.00	Free	0.00	Everyone	Productivity	2018-04-17	Varies with device	Varies with device	2
3896	Adobe Acrobat Reader	PRODUCTIVITY	4.30	3014548.00	110.00	100000000.00	Free	0.00	Everyone	Productivity	2018-04-17	Varies with device	Varies with device	3
2815	Adobe Photoshop Express:Photo Editor Collage Maker	PHOTOGRAPHY	4.20	914804.00	110.00	50000000.00	Free	0.00	Everyone	Photography	2018-07-22	5.0.508	4.4 and up	2
589	Adult Dirty Emojis	DATING	2.80	80.00	5.50	10000.00	Free	0.00	Teen	Dating	2017-11-06	1.0	4.0.3 and up	2
682	Adult Dirty Emojis	DATING	2.80	80.00	5.50	10000.00	Free	0.00	Teen	Dating	2017-11-06	1.0	4.0.3 and up	3
2420	Advanced Comprehension Therapy	MEDICAL		3.00	62.00	100.00	Paid	24.99	Everyone	Medical	2017-10-05	1.2	4.0.3 and up	2
251	AdWords Express	BUSINESS	4.10	7149.00	11.00	1000000.00	Free	0.00	Everyone	Business	2018-07-31	2.6.158	4.0 and up	2
3881	Agar.io	GAME	4.20	3815614.00	32.00	100000000.00	Free	0.00	Everyone	Action	2018-07-23	2.2.8	4.0.3 and up	2
3446	ai.type Free Emoji Keyboard	PERSONALIZATION	4.30	647844.00	110.00	10000000.00	Free	0.00	Everyone	Personalization	2018-07-24	Varies with device	Varies with device	2
3216	Airbnb	TRAVEL_AND_LOCAL	4.40	359560.00	110.00	10000000.00	Free	0.00	Everyone	Travel & Local	2018-08-02	Varies with device	Varies with device	2
10050	Airway Ex - Intubate. Anesthetize. Train.	MEDICAL	4.30	123.00	86.00	10000.00	Free	0.00	Everyone	Medical	2018-06-01	0.6.88	5.0 and up	2
2661	AliExpress - Smarter Shopping, Better Living	SHOPPING	4.60	5916606.00	110.00	100000000.00	Free	0.00	Teen	Shopping	2018-08-06	Varies with device	Varies with device	2
2757	AliExpress - Smarter Shopping, Better Living	SHOPPING	4.60	5916569.00	110.00	100000000.00	Free	0.00	Teen	Shopping	2018-08-06	Varies with device	Varies with device	3
4100	AliExpress - Smarter Shopping, Better Living	SHOPPING	4.60	5911055.00	110.00	100000000.00	Free	0.00	Teen	Shopping	2018-08-01	Varies with device	Varies with device	4
2983	All Football - Latest News & Videos	SPORTS	4.60	152867.00	17.00	10000000.00	Free	0.00	Everyone	Sports	2018-08-03	3.0.5	4.1 and up	2
2335	All Mental disorders	MEDICAL	4.50	453.00	11.00	100000.00	Free	0.00	Everyone	Medical	2017-07-07	1.1	4.0.3 and up	2
2550	All Social Networks	SOCIAL	4.20	22492.00	1.50	1000000.00	Free	0.00	Everyone	Social	2018-05-21	2.4.12	4.0 and up	2
3937	Alto's Adventure	GAME	4.60	515240.00	63.00	10000000.00	Free	0.00	Everyone	Action	2018-06-05	1.7.1	4.0 and up	2
2655	Amazon for Tablets	SHOPPING	4.00	141613.00	22.00	10000000.00	Free	0.00	Teen	Shopping	2018-07-31	16.14.0.850	4.4 and up	2
144	Amazon Kindle	BOOKS_AND_REFERENCE	4.20	814080.00	110.00	100000000.00	Free	0.00	Teen	Books & Reference	2018-07-27	Varies with device	Varies with device	2
2764	Amazon Shopping	SHOPPING	4.30	909204.00	42.00	100000000.00	Free	0.00	Teen	Shopping	2018-07-31	16.14.0.100	4.4 and up	2
3923	Amazon Shopping	SHOPPING	4.30	908525.00	42.00	100000000.00	Free	0.00	Teen	Shopping	2018-07-31	16.14.0.100	4.4 and up	3
3159	American Airlines	TRAVEL_AND_LOCAL	3.70	16980.00	110.00	5000000.00	Free	0.00	Everyone	Travel & Local	2018-07-18	Varies with device	Varies with device	2
5953	American Airlines	TRAVEL_AND_LOCAL	3.70	16973.00	110.00	5000000.00	Free	0.00	Everyone	Travel & Local	2018-07-18	Varies with device	Varies with device	3
2572	Amino: Communities and Chats	SOCIAL	4.80	1259075.00	62.00	10000000.00	Free	0.00	Teen	Social	2018-07-20	1.8.19179	4.0.3 and up	2
2401	AnatomyMapp	MEDICAL	4.10	80.00	48.00	5000.00	Paid	14.99	Everyone	Medical	2013-11-05	1.0	3.0 and up	2
397	Android Messages	COMMUNICATION	4.20	781810.00	110.00	100000000.00	Free	0.00	Everyone	Communication	2018-08-01	Varies with device	Varies with device	2
1939	Anger of stick 5 : zombie	GAME	4.50	549039.00	23.00	50000000.00	Free	0.00	Teen	Action	2018-08-03	1.1.5	2.3 and up	2
1844	Angry Birds 2	GAME	4.60	3883589.00	57.00	100000000.00	Free	0.00	Everyone	Casual	2018-07-26	2.21.1	4.1 and up	2
1906	Angry Birds Classic	GAME	4.40	5566889.00	97.00	100000000.00	Free	0.00	Everyone	Arcade	2018-05-24	7.9.3	4.1 and up	2
1991	Angry Birds Classic	GAME	4.40	5566908.00	97.00	100000000.00	Free	0.00	Everyone	Arcade	2018-05-24	7.9.3	4.1 and up	3
1681	Angry Birds Classic	GAME	4.40	5566669.00	97.00	100000000.00	Free	0.00	Everyone	Arcade	2018-05-24	7.9.3	4.1 and up	4
3884	Angry Birds Classic	GAME	4.40	5565856.00	97.00	100000000.00	Free	0.00	Everyone	Arcade	2018-05-24	7.9.3	4.1 and up	5
1727	Angry Birds Rio	GAME	4.40	2610622.00	46.00	100000000.00	Free	0.00	Everyone	Arcade	2018-07-03	2.6.9	4.1 and up	2
1666	Angry Birds Rio	GAME	4.40	2610526.00	46.00	100000000.00	Free	0.00	Everyone	Arcade	2018-07-03	2.6.9	4.1 and up	3
1985	Angry Birds Rio	GAME	4.40	2610680.00	46.00	100000000.00	Free	0.00	Everyone	Arcade	2018-07-03	2.6.9	4.1 and up	4
2238	Animal Jam - Play Wild!	FAMILY	4.60	361970.00	58.00	5000000.00	Free	0.00	Everyone	Casual;Pretend Play	2018-08-02	28.0.14	4.1 and up	2
2518	Anthem Anywhere	MEDICAL	2.70	2657.00	24.00	500000.00	Free	0.00	Everyone	Medical	2018-07-27	8.0.226	4.4 and up	2
5959	Anthem BC Anywhere	MEDICAL	2.60	496.00	24.00	100000.00	Free	0.00	Everyone	Medical	2018-07-27	8.0.226	4.4 and up	2
3509	Any.do: To-do list, Calendar, Reminders & Planner	PRODUCTIVITY	4.50	298843.00	110.00	10000000.00	Free	0.00	Everyone	Productivity	2018-08-05	Varies with device	Varies with device	2
3549	Any.do: To-do list, Calendar, Reminders & Planner	PRODUCTIVITY	4.50	298854.00	110.00	10000000.00	Free	0.00	Everyone	Productivity	2018-08-05	Varies with device	Varies with device	3
3792	AP Mobile - Breaking News	NEWS_AND_MAGAZINES	4.50	76677.00	4.60	1000000.00	Free	0.00	Everyone 10+	News & Magazines	2017-05-25	4.4.3	4.0 and up	2
1461	Apartment List: Housing, Apt, and Property Rentals	HOUSE_AND_HOME	4.50	8481.00	7.50	1000000.00	Free	0.00	Everyone	House & Home	2018-08-03	2.1.0	5.0 and up	2
1510	Apartments & Rentals - Zillow	HOUSE_AND_HOME	4.20	27387.00	110.00	1000000.00	Free	0.00	Everyone	House & Home	2018-06-21	Varies with device	Varies with device	2
1480	Apartments.com Rental Search	HOUSE_AND_HOME	4.30	22584.00	16.00	1000000.00	Free	0.00	Everyone	House & Home	2018-07-16	4.7.13	4.4 and up	2
3379	Apex Launcher	PERSONALIZATION	4.30	266401.00	110.00	10000000.00	Free	0.00	Everyone	Personalization	2018-08-04	Varies with device	Varies with device	2
8668	Apex Launcher	PERSONALIZATION	4.30	266434.00	110.00	10000000.00	Free	0.00	Everyone	Personalization	2018-08-04	Varies with device	Varies with device	3
5078	AppLock	TOOLS	4.40	4931562.00	110.00	100000000.00	Free	0.00	Everyone	Tools	2018-06-11	Varies with device	Varies with device	2
249	Asana: organize team projects	BUSINESS	4.30	20815.00	10.00	1000000.00	Free	0.00	Everyone	Business	2018-07-26	6.4.4	5.0 and up	2
2379	ASCCP Mobile	MEDICAL	4.50	63.00	25.00	10000.00	Paid	9.99	Everyone	Medical	2016-10-03	2.1.1	2.2 and up	2
2801	ASOS	SHOPPING	4.70	181823.00	22.00	10000000.00	Free	0.00	Everyone	Shopping	2018-07-30	4.4.9	4.4 and up	2
2203	Avokiddo Emotions	FAMILY	4.60	73.00	12.00	1000.00	Paid	2.99	Everyone	Education;Pretend Play	2018-05-21	1.7.0	4.0.3 and up	2
2817	B612 - Beauty & Filter Camera	PHOTOGRAPHY	4.40	5282578.00	110.00	100000000.00	Free	0.00	Everyone	Photography	2018-07-30	7.6.5	4.3 and up	2
2860	B612 - Beauty & Filter Camera	PHOTOGRAPHY	4.40	5282558.00	110.00	100000000.00	Free	0.00	Everyone	Photography	2018-07-30	7.6.5	4.3 and up	3
797	Babbel â€“ Learn Languages	EDUCATION	4.30	266935.00	21.00	10000000.00	Free	0.00	Everyone	Education	2018-07-30	20.7.2	4.4 and up	2
718	Babbel â€“ Learn Languages	EDUCATION	4.30	266948.00	21.00	10000000.00	Free	0.00	Everyone	Education	2018-07-30	20.7.2	4.4 and up	3
8298	Babbel â€“ Learn Languages	FAMILY	4.30	267787.00	21.00	10000000.00	Free	0.00	Everyone	Education	2018-07-30	20.7.2	4.4 and up	4
2212	Baby Panda Care	FAMILY	4.20	108795.00	49.00	10000000.00	Free	0.00	Everyone	Educational;Pretend Play	2018-06-15	8.25.10.00	4.0.3 and up	2
6204	Backgrounds HD (Wallpapers)	PERSONALIZATION	4.60	2390099.00	110.00	100000000.00	Free	0.00	Teen	Personalization	2018-08-04	Varies with device	Varies with device	2
2648	Badoo - Free Chat & Dating App	SOCIAL	4.30	3781770.00	110.00	100000000.00	Free	0.00	Mature 17+	Social	2018-08-02	Varies with device	Varies with device	2
2589	Badoo - Free Chat & Dating App	SOCIAL	4.30	3781770.00	110.00	100000000.00	Free	0.00	Mature 17+	Social	2018-08-02	Varies with device	Varies with device	3
2628	Badoo - Free Chat & Dating App	SOCIAL	4.30	3781770.00	110.00	100000000.00	Free	0.00	Mature 17+	Social	2018-08-02	Varies with device	Varies with device	4
2360	Banfield Pet Health Tracker	MEDICAL	4.20	1747.00	5.90	100000.00	Free	0.00	Everyone	Medical	2016-10-17	1.2.2	4.0 and up	2
1688	Barbieâ„¢ Fashion Closet	GAME	4.10	68057.00	85.00	10000000.00	Free	0.00	Everyone	Casual;Creativity	2018-07-30	1.3.7	4.1 and up	2
3781	BBC News	NEWS_AND_MAGAZINES	4.30	296781.00	110.00	10000000.00	Free	0.00	Everyone 10+	News & Magazines	2018-07-24	Varies with device	Varies with device	2
3720	BBC News	NEWS_AND_MAGAZINES	4.30	296781.00	110.00	10000000.00	Free	0.00	Everyone 10+	News & Magazines	2018-07-24	Varies with device	Varies with device	3
2981	BBC Sport	SPORTS	4.20	18678.00	110.00	1000000.00	Free	0.00	Everyone	Sports	2018-04-25	Varies with device	Varies with device	2
6450	BBM - Free Calls & Messages	COMMUNICATION	4.30	12843436.00	110.00	100000000.00	Free	0.00	Everyone	Communication	2018-08-02	Varies with device	4.0.3 and up	2
678	BBW Dating & Curvy Singles Chat- LargeFriends	DATING	4.40	218.00	27.00	10000.00	Free	0.00	Mature 17+	Dating	2018-07-23	5.2.9	4.1 and up	2
489	BBW Dating & Plus Size Chat	DATING	4.40	12632.00	29.00	1000000.00	Free	0.00	Mature 17+	Dating	2018-07-27	3.5.0.1	4.1 and up	2
548	BBW Dating & Plus Size Chat	DATING	4.40	12632.00	29.00	1000000.00	Free	0.00	Mature 17+	Dating	2018-07-27	3.5.0.1	4.1 and up	3
6915	Beautiful Widgets Free	PERSONALIZATION	3.90	25035.00	14.00	1000000.00	Free	0.00	Everyone	Personalization	2016-10-20	5.7.6	2.3 and up	2
3404	Beautiful Widgets Pro	PERSONALIZATION	4.20	97890.00	14.00	1000000.00	Paid	2.49	Everyone	Personalization	2016-08-24	5.7.8	2.3 and up	2
2836	BeautyPlus - Easy Photo Editor & Selfie Camera	PHOTOGRAPHY	4.40	3158047.00	53.00	100000000.00	Free	0.00	Everyone	Photography	2018-07-31	6.9.031	4.1 and up	2
2958	BeautyPlus - Easy Photo Editor & Selfie Camera	PHOTOGRAPHY	4.40	3158151.00	53.00	100000000.00	Free	0.00	Everyone	Photography	2018-07-31	6.9.031	4.1 and up	3
2938	BeautyPlus - Easy Photo Editor & Selfie Camera	PHOTOGRAPHY	4.40	3158151.00	53.00	100000000.00	Free	0.00	Everyone	Photography	2018-07-31	6.9.031	4.1 and up	4
6055	BeautyPlus - Easy Photo Editor & Selfie Camera	PHOTOGRAPHY	4.40	3156484.00	53.00	100000000.00	Free	0.00	Everyone	Photography	2018-07-31	6.9.031	4.1 and up	5
1851	Best Fiends - Free Puzzle Game	GAME	4.60	1480189.00	110.00	10000000.00	Free	0.00	Everyone	Casual	2018-08-02	5.8.1	Varies with device	2
952	BET NOW - Watch Shows	ENTERTAINMENT	4.20	14807.00	19.00	1000000.00	Free	0.00	Teen	Entertainment	2018-07-08	11.45.0	4.4 and up	2
923	BET NOW - Watch Shows	ENTERTAINMENT	4.20	14807.00	19.00	1000000.00	Free	0.00	Teen	Entertainment	2018-07-08	11.45.0	4.4 and up	3
6451	BeyondMenu Food Delivery	FOOD_AND_DRINK	4.70	51543.00	110.00	1000000.00	Free	0.00	Everyone	Food & Drink	2018-08-01	Varies with device	Varies with device	2
2187	Bita and the Animals - Pelos Ares	FAMILY	4.40	1160.00	37.00	100000.00	Free	0.00	Everyone	Education;Music & Video	2013-05-22	1.0	2.2 and up	2
668	Black People Meet Singles Date	DATING	3.90	10212.00	5.00	1000000.00	Free	0.00	Mature 17+	Dating	2018-07-25	1.9.7	4.4 and up	2
540	Black White Interracial Dating - Interracial Match	DATING	4.10	535.00	28.00	100000.00	Free	0.00	Mature 17+	Dating	2018-03-29	2.0.0	4.1 and up	2
2992	Bleacher Report: sports news, scores, & highlights	SPORTS	4.40	122282.00	110.00	5000000.00	Free	0.00	Everyone 10+	Sports	2018-07-20	Varies with device	Varies with device	2
3013	Bleacher Report: sports news, scores, & highlights	SPORTS	4.40	122282.00	110.00	5000000.00	Free	0.00	Everyone 10+	Sports	2018-07-20	Varies with device	Varies with device	3
3051	Bleacher Report: sports news, scores, & highlights	SPORTS	4.40	122283.00	110.00	5000000.00	Free	0.00	Everyone 10+	Sports	2018-07-20	Varies with device	Varies with device	4
3062	Bleacher Report: sports news, scores, & highlights	SPORTS	4.40	122283.00	110.00	5000000.00	Free	0.00	Everyone 10+	Sports	2018-07-20	Varies with device	Varies with device	5
3081	Bleacher Report: sports news, scores, & highlights	SPORTS	4.40	122283.00	110.00	5000000.00	Free	0.00	Everyone 10+	Sports	2018-07-20	Varies with device	Varies with device	6
501	Blendr - Chat, Flirt & Meet	DATING	4.00	28671.00	110.00	1000000.00	Free	0.00	Mature 17+	Dating	2018-08-01	Varies with device	Varies with device	2
2390	Block Buddy	MEDICAL	4.00	15.00	5.00	1000.00	Paid	14.99	Everyone	Medical	2018-08-01	7.6.14	4.0 and up	2
1779	Block Craft 3D: Building Simulator Games For Free	GAME	4.50	946926.00	57.00	50000000.00	Free	0.00	Everyone	Simulation	2018-03-05	2.10.2	4.0.3 and up	2
1747	Block Craft 3D: Building Simulator Games For Free	GAME	4.50	946926.00	57.00	50000000.00	Free	0.00	Everyone	Simulation	2018-03-05	2.10.2	4.0.3 and up	3
1884	Block Puzzle	GAME	4.60	59907.00	7.80	5000000.00	Free	0.00	Everyone	Puzzle	2018-03-06	2.9	2.3 and up	2
1665	Block Puzzle	GAME	4.60	59800.00	7.80	5000000.00	Free	0.00	Everyone	Puzzle	2018-03-06	2.9	2.3 and up	3
1720	Block Puzzle	GAME	4.60	59854.00	7.80	5000000.00	Free	0.00	Everyone	Puzzle	2018-03-06	2.9	2.3 and up	4
2002	Block Puzzle Classic Legend !	GAME	4.20	17044.00	4.90	5000000.00	Free	0.00	Everyone	Puzzle	2018-04-13	2.9	2.3.3 and up	2
6586	Blood Pressure	MEDICAL	4.20	33033.00	7.40	5000000.00	Free	0.00	Everyone	Medical	2018-07-24	3.27.3	4.1 and up	2
6596	Blood Pressure Companion	MEDICAL	4.20	178.00	4.80	1000.00	Paid	0.99	Everyone	Medical	2018-07-22	4.1.5 (Steglitz)	4.1 and up	2
2324	Blood Pressure Log - MyDiary	MEDICAL	4.70	8348.00	2.60	500000.00	Free	0.00	Everyone	Medical	2018-04-13	1.4.6	4.0 and up	2
6595	Blood Pressure Monitor	MEDICAL	4.30	17.00	6.00	10000.00	Free	0.00	Everyone	Medical	2017-02-25	1.0.1	4.4 and up	2
2511	Blood Pressure(BP) Diary	MEDICAL	3.70	3596.00	8.40	1000000.00	Free	0.00	Everyone	Medical	2018-07-18	4.0.9	4.0.3 and up	2
2882	Blur Image Background	PHOTOGRAPHY	3.90	129272.00	11.00	10000000.00	Free	0.00	Everyone	Photography	2018-07-30	1.32	4.1 and up	2
3113	Booking.com Travel Deals	TRAVEL_AND_LOCAL	4.70	1830388.00	110.00	100000000.00	Free	0.00	Everyone	Travel & Local	2018-08-06	Varies with device	Varies with device	2
3157	Booking.com Travel Deals	TRAVEL_AND_LOCAL	4.70	1830387.00	110.00	100000000.00	Free	0.00	Everyone	Travel & Local	2018-08-06	Varies with device	Varies with device	3
1908	Bowmasters	GAME	4.70	1535973.00	110.00	50000000.00	Free	0.00	Teen	Action	2018-07-23	2.12.5	4.1 and up	2
1923	Bowmasters	GAME	4.70	1535973.00	110.00	50000000.00	Free	0.00	Teen	Action	2018-07-23	2.12.5	4.1 and up	3
1763	Bowmasters	GAME	4.70	1535084.00	110.00	50000000.00	Free	0.00	Teen	Action	2018-07-23	2.12.5	4.1 and up	4
1721	Bowmasters	GAME	4.70	1534466.00	110.00	50000000.00	Free	0.00	Teen	Action	2018-07-23	2.12.5	4.1 and up	5
6078	Bowmasters	GAME	4.70	1535581.00	110.00	50000000.00	Free	0.00	Teen	Action	2018-07-23	2.12.5	4.1 and up	6
266	Box	BUSINESS	4.20	159872.00	110.00	10000000.00	Free	0.00	Everyone	Business	2018-07-31	Varies with device	Varies with device	2
237	Box	BUSINESS	4.20	159872.00	110.00	10000000.00	Free	0.00	Everyone	Business	2018-07-31	Varies with device	Varies with device	3
2528	BP Journal - Blood Pressure Diary	MEDICAL	5.00	6.00	26.00	1000.00	Free	0.00	Everyone	Medical	2018-05-25	1.0.32	4.4 and up	2
2432	Breastfeeding Tracker Baby Log	MEDICAL		6.00	23.00	100.00	Free	0.00	Everyone	Medical	2018-07-20	1.3.5	5.0 and up	2
751	Brilliant	EDUCATION	4.50	41185.00	110.00	1000000.00	Free	0.00	Everyone	Education	2018-08-03	Varies with device	Varies with device	2
7629	Brit + Co	LIFESTYLE	3.90	987.00	4.50	10000.00	Free	0.00	Everyone	Lifestyle	2017-08-29	2.0.4	4.0 and up	2
5911	British Airways	TRAVEL_AND_LOCAL	4.20	25726.00	51.00	1000000.00	Free	0.00	Everyone	Travel & Local	2018-07-24	4.20	4.4 and up	2
1712	Bubble Shooter	GAME	4.50	148895.00	46.00	10000000.00	Free	0.00	Everyone	Casual	2018-07-17	1.20.1	4.0.3 and up	2
1876	Bubble Shooter	GAME	4.50	148945.00	46.00	10000000.00	Free	0.00	Everyone	Casual	2018-07-17	1.20.1	4.0.3 and up	3
1973	Bubble Shooter	GAME	4.50	148990.00	46.00	10000000.00	Free	0.00	Everyone	Casual	2018-07-17	1.20.1	4.0.3 and up	4
1687	Bubble Shooter 2	GAME	4.30	23005.00	110.00	5000000.00	Free	0.00	Everyone	Arcade	2018-07-25	3.5	4.1 and up	2
847	busuu: Learn Languages - Spanish, English & More	EDUCATION	4.30	206532.00	21.00	10000000.00	Free	0.00	Everyone 10+	Education	2018-08-01	13.9.0.161	5.0 and up	2
836	busuu: Learn Languages - Spanish, English & More	EDUCATION	4.30	206532.00	21.00	10000000.00	Free	0.00	Everyone 10+	Education	2018-08-01	13.9.0.161	5.0 and up	3
9636	busuu: Learn Languages - Spanish, English & More	FAMILY	4.30	207294.00	21.00	10000000.00	Free	0.00	Everyone 10+	Education	2018-08-01	13.9.0.161	5.0 and up	4
3819	BuzzFeed: News, Tasty, Quizzes	NEWS_AND_MAGAZINES	4.30	131028.00	13.00	5000000.00	Free	0.00	Teen	News & Magazines	2018-07-30	5.38	4.4 and up	2
1076	BZWBK24 mobile	FINANCE	4.50	64959.00	39.00	1000000.00	Free	0.00	Everyone	Finance	2018-06-18	5.0.1	4.1 and up	2
3989	C Programming	FAMILY	4.30	22248.00	1.80	1000000.00	Free	0.00	Everyone	Education	2015-06-28	3.0	2.3 and up	2
8895	Cache Cleaner-DU Speed Booster (booster & cleaner)	TOOLS	4.50	12759815.00	15.00	100000000.00	Free	0.00	Everyone	Tools	2018-07-25	3.1.2	4.0 and up	2
8306	CallApp: Caller ID, Blocker & Phone Call Recorder	COMMUNICATION	4.40	483782.00	20.00	10000000.00	Free	0.00	Everyone	Communication	2018-07-29	1.286	4.1 and up	2
389	Calls & Text by Mo+	COMMUNICATION	4.20	83239.00	14.00	5000000.00	Free	0.00	Everyone	Communication	2018-04-19	3.0.4	4.0 and up	2
1439	Calm - Meditate, Sleep, Relax	HEALTH_AND_FITNESS	4.60	111455.00	110.00	5000000.00	Free	0.00	Everyone	Health & Fitness	2018-08-05	Varies with device	Varies with device	2
1403	Calorie Counter & Diet Tracker	HEALTH_AND_FITNESS	4.50	32606.00	110.00	1000000.00	Free	0.00	Everyone	Health & Fitness	2018-03-22	Varies with device	Varies with device	2
1397	Calorie Counter - Macros	HEALTH_AND_FITNESS	4.00	3061.00	5.50	100000.00	Free	0.00	Everyone	Health & Fitness	2016-08-27	2.3.4	5.0 and up	2
1405	Calorie Counter - MyFitnessPal	HEALTH_AND_FITNESS	4.60	1873520.00	110.00	50000000.00	Free	0.00	Everyone	Health & Fitness	2018-07-31	Varies with device	Varies with device	2
1422	Calorie Counter - MyFitnessPal	HEALTH_AND_FITNESS	4.60	1873523.00	110.00	50000000.00	Free	0.00	Everyone	Health & Fitness	2018-07-31	Varies with device	Varies with device	3
1287	Calorie Counter - MyFitnessPal	HEALTH_AND_FITNESS	4.60	1873516.00	110.00	50000000.00	Free	0.00	Everyone	Health & Fitness	2018-07-31	Varies with device	Varies with device	4
1363	Calorie Counter - MyFitnessPal	HEALTH_AND_FITNESS	4.60	1873523.00	110.00	50000000.00	Free	0.00	Everyone	Health & Fitness	2018-07-31	Varies with device	Varies with device	5
1393	Calorie Counter - MyNetDiary	HEALTH_AND_FITNESS	4.50	27439.00	19.00	1000000.00	Free	0.00	Everyone	Health & Fitness	2018-07-16	6.5.1	5.0 and up	2
1412	Calorie Counter by FatSecret	HEALTH_AND_FITNESS	4.40	229214.00	110.00	10000000.00	Free	0.00	Everyone	Health & Fitness	2018-07-31	Varies with device	Varies with device	2
2861	Camera for Android	PHOTOGRAPHY	4.20	240475.00	9.50	10000000.00	Free	0.00	Everyone	Photography	2017-11-22	3.8	4.0 and up	2
2900	Camera for Android	PHOTOGRAPHY	4.20	240475.00	9.50	10000000.00	Free	0.00	Everyone	Photography	2017-11-22	3.8	4.0 and up	3
6653	Camera FV-5	PHOTOGRAPHY	3.80	16317.00	110.00	100000.00	Paid	3.95	Everyone	Photography	2017-11-10	Varies with device	Varies with device	2
5043	Camera FV-5 Lite	PHOTOGRAPHY	4.00	130063.00	5.60	10000000.00	Free	0.00	Everyone	Photography	2017-11-10	3.31.4	4.0 and up	2
